imagens,escalas,escalas_acumuladas
0,1.0841972128307453,2.9923872903579913
1,1.0976955979851333,3.284730356092628
2,1.098736928622503,3.609054542806315
3,1.0988054441172215,3.9656487797515685
4,1.1010428618654993,4.366349281611092
5,1.1021406599439556,4.812331078780666
6,1.1037385750744422,5.311555447679825
7,1.1055631281141778,5.872259855888809
8,1.105831986643351,6.49373278252352
9,1.105838186745452,7.181017685435309
10,1.105867727244166,7.941255707092506
11,1.1058521161351536,8.781854428458614
12,1.105829769026263,9.711236054244655
13,1.112712857762268,10.805817222322542
14,1.1182615797215332,12.083730237216555
15,1.1222802701072911,13.561332034527037
16,1.123599967346612,15.237512231171142
17,1.1313729681218143,17.239309439772544
18,1.1323126347873467,19.520287893663227
19,1.143797697456275,22.327260346455596
20,1.1517415313651351,25.715233022614825
21,1.1583896798400908,29.788260548080117
22,1.1647458543960525,34.6957529830458
23,1.1740752105632515,40.73542348922006
24,1.1829381326060848,48.18748579325602
25,1.19172432651371,57.42619905335701
26,1.197759827723021,68.7827942849368
27,1.2039975446631734,82.81431543413606
28,1.2042724578753594,99.73099919513236
29,1.2112963290304783,120.80379321560541
